               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.030713,            0.032856,           0.0054302,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.031971,            0.035184,           0.0045725,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.032327,            0.033325,           0.0049954,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.032317,            0.034848,            0.004885,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.034449,            0.035847,           0.0048277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.034259,             0.03811,           0.0052196,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.031325,            0.034517,           0.0048105,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.030504,             0.03392,           0.0049938,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.033651,            0.035608,           0.0048429,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.030686,            0.033196,           0.0048401,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.030798,            0.037917,           0.0050823,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.032981,            0.035181,           0.0051476,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.032408,            0.035659,           0.0049432,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.031309,            0.035924,           0.0049898,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.031172,            0.036597,           0.0048228,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.030527,             0.03341,            0.004808,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.030296,             0.03445,           0.0046568,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.032799,            0.034141,           0.0047434,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.031057,            0.038422,            0.004812,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.030338,            0.031974,            0.004453,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004819,            0.004819,            0.004819
